galaxy,source,radius_type,preferred_profile,rin_arcmin,rout_arcmin,rm_arcmin,rin_pc,rout_pc,rm_pc,R_pc,R_inner_pc,R_outer_pc,Sigma,Sigma_err,light_frac,light_frac_err_approx,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,S1_sigma_arcmin2,S1_sigma_err_arcmin2,S1_counts_bin,S1_counts_err_bin,S1_light_fraction,S1_light_fraction_err_approx,S2_sigma_arcmin2,S2_sigma_err_arcmin2,S2_counts_bin,S2_counts_err_bin,S2_light_fraction,S2_light_fraction_err_approx,S1_background_arcmin2,S1_background_err_arcmin2,S2_background_arcmin2,S2_background_err_arcmin2,pc_per_arcmin_assumed,note
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,0.0,1.0,0.71,0.0,22.1,15.691,15.691,0.0,22.1,7.181,1.795,0.008442266115370191,0.0021102726190070312,0.31,0.69,2.167698930976957,1058.7258348784558,10.25,2.137,22.21891404251381,4.632372615497757,0.007463621217946478,0.00155607400417089,7.181,1.795,15.566246023345528,3.8910195811036377,0.008442266115370191,0.0021102726190070312,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,1.0,2.0,1.58,22.1,44.2,34.918000000000006,34.918000000000006,22.1,44.2,5.087,0.872,0.017941431999256994,0.003075472518842559,0.31,0.69,6.5030967929308705,3176.177504635367,8.467,1.121,55.061720545745686,7.289971504875505,0.01849594561532278,0.002448795917654049,5.087,0.872,33.081253385639336,5.670700403435719,0.017941431999256994,0.003075472518842559,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,2.0,3.0,2.55,44.2,66.30000000000001,56.355,56.355,44.2,66.30000000000001,4.937,0.666,0.02902065715887943,0.003914879009077111,0.31,0.69,10.838494654884785,5293.629174392279,7.219,0.802,78.24309291361327,8.6924727132176,0.02628286905968567,0.0029199142520941832,4.937,0.666,53.509648111166186,7.218437440153267,0.02902065715887943,0.003914879009077111,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,3.0,4.0,3.54,66.30000000000001,88.4,78.23400000000001,78.23400000000001,66.30000000000001,88.4,4.937,0.563,0.0406289200224312,0.004633194647078947,0.31,0.69,15.173892516838698,7411.08084414919,7.448,0.689,113.01515146541463,10.454811944101863,0.03796325422623001,0.003511906842356669,4.937,0.563,74.91350735563266,8.542901486980186,0.0406289200224312,0.004633194647078947,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,4.0,5.0,4.53,88.4,110.5,100.11300000000001,100.11300000000001,88.4,110.5,4.388,0.468,0.04642834889683882,0.004951792908778617,0.31,0.69,19.509290378792613,9528.532513906102,7.13,0.594,139.10124040079134,11.588518485002812,0.04672590961518298,0.0038927335640138406,4.388,0.468,85.60676618214198,9.130347897274943,0.04642834889683882,0.004951792908778617,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,5.0,6.0,5.52,110.5,132.60000000000002,121.992,121.992,110.5,132.60000000000002,3.142,0.358,0.04063244694045739,0.004629667729052752,0.31,0.69,23.844688240746528,11645.984183663013,4.74,0.438,113.02382226113855,10.443973449446979,0.037966166858900426,0.003508266051518647,3.142,0.358,74.92001045242559,8.536398390187257,0.04063244694045739,0.004629667729052752,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,6.0,7.0,6.52,132.60000000000002,154.70000000000002,144.092,144.092,132.60000000000002,154.70000000000002,3.452,0.345,0.052757991114517844,0.005272742449162415,0.31,0.69,28.18008610270044,13763.435853419924,5.142,0.42,144.90200274008566,11.835636163134184,0.04867446087169271,0.003975743595120758,3.452,0.345,97.27765722652191,9.722129705431652,0.052757991114517844,0.005272742449162415,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,7.0,8.0,7.52,154.70000000000002,176.8,166.192,166.192,154.70000000000002,176.8,2.723,0.285,0.04801898892665304,0.005025858187328724,0.31,0.69,32.51548396465436,15880.887523176838,3.654,0.329,118.81157840684702,10.697594224371285,0.039910349166404534,0.003593460557128378,2.723,0.285,88.53966283575382,9.266912929926491,0.04801898892665304,0.005025858187328724,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,8.0,10.0,9.06,176.8,221.0,200.22600000000003,200.22600000000003,176.8,221.0,2.132,0.163,0.09023267078218812,0.006898651659238585,0.31,0.69,78.03716151517045,38114.13005562441,3.181,0.198,248.23621077975722,15.45135798000375,0.08338576072140086,0.005190311418685122,2.132,0.163,166.3752283503434,12.720057326972784,0.09023267078218812,0.006898651659238585,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,10.0,12.0,11.05,221.0,265.20000000000005,244.20500000000004,244.20500000000004,221.0,265.20000000000005,1.642,0.129,0.08493759118552646,0.006672928905562068,0.31,0.69,95.37875296298611,46583.93673465205,2.38,0.155,227.00143205190693,14.783706709262848,0.07625272331154684,0.004966038703062925,1.642,0.129,156.6119123652232,12.30385913222521,0.08493759118552646,0.006672928905562068,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,12.0,14.0,13.04,265.20000000000005,309.40000000000003,288.184,288.184,265.20000000000005,309.40000000000003,0.941,0.09,0.05752638428593429,0.0055019921208651285,0.31,0.69,112.72034441080176,55053.743413679695,1.363,0.108,153.6378294319228,12.17379719636659,0.05160893828713898,0.004089336269267065,0.941,0.09,106.06984409056444,10.144830996972157,0.05752638428593429,0.0055019921208651285,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,14.0,16.0,15.03,309.40000000000003,353.6,332.163,332.163,309.40000000000003,353.6,0.778,0.076,0.054878844487603475,0.005360915399817306,0.31,0.69,130.06193585861743,63523.55009270735,1.099,0.09,142.93806750862055,11.705574227275568,0.048014749571843,0.003932054105064486,0.778,0.076,101.18818609800437,9.884707125254925,0.054878844487603475,0.005360915399817306,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,16.0,18.0,17.03,353.6,397.8,376.36300000000006,376.36300000000006,353.6,397.8,0.442,0.054,0.03533501606511161,0.004316947664063408,0.31,0.69,147.40352730643306,71993.35677173498,0.629,0.064,92.7168186757464,9.433825747611715,0.031144781144781142,0.003168944345414933,0.442,0.054,65.15235906944342,7.959790474547385,0.03533501606511161,0.004316947664063408,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,18.0,22.0,20.1,397.8,486.20000000000005,444.21000000000004,444.21000000000004,397.8,486.20000000000005,0.278,0.028,0.05229243793506004,0.00526686425245209,0.31,0.69,346.83182895631313,169396.13358055294,0.485,0.037,168.21343704381187,12.832777671383585,0.05650507380611187,0.004310696352218844,0.278,0.028,96.41924844985506,9.711291210776768,0.05229243793506004,0.00526686425245209,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,22.0,28.0,25.18,486.20000000000005,618.8000000000001,556.4780000000001,556.4780000000001,486.20000000000005,618.8000000000001,0.18,0.016,0.06348452447152073,0.005643068841912954,0.31,0.69,650.3096792930871,317617.75046353677,0.3,0.021,195.09290378792613,13.65650326515483,0.0655342350844081,0.004587396455908567,0.18,0.016,117.05574227275568,10.404954868689394,0.06348452447152073,0.005643068841912954,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,28.0,34.0,31.14,618.8000000000001,751.4000000000001,688.1940000000001,688.1940000000001,618.8000000000001,751.4000000000001,0.11,0.012,0.04810716187730792,0.005248054022979047,0.31,0.69,806.384002323428,393846.0105747855,0.193,0.015,155.63211244842162,12.09576003485142,0.052278843801335156,0.004063122575233302,0.11,0.012,88.70224025557708,9.676608027881137,0.04810716187730792,0.005248054022979047,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,34.0,40.0,37.12,751.4000000000001,884.0,820.352,820.352,751.4000000000001,884.0,0.088,0.009,0.04593458037317144,0.004697854810892533,0.31,0.69,962.4583253537689,470074.27068603435,0.165,0.013,158.8056236833719,12.511958229598996,0.0533448673587082,0.0042029289434133725,0.088,0.009,84.69633263113167,8.66212492818392,0.04593458037317144,0.004697854810892533,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
Draco,Odenkirchen_et_al_2001_Table_3,elliptical_major_axis,S2,40.0,60.0,50.99,884.0,1326.0,1126.8790000000001,1126.8790000000001,884.0,1326.0,0.078,0.004,0.18339973736217097,0.009405114736521588,0.31,0.69,4335.397861953914,2117451.669756911,0.15,0.006,650.309679293087,26.012387171723486,0.21844745028136028,0.008737898011254413,0.078,0.004,338.16103323240526,17.341591447815656,0.18339973736217097,0.009405114736521588,0.1511,0.002,0.076,0.0014,22.1,Sigma values are background-subtracted stellar surface densities; S2 is usually the cleaner CMD-filtered profile.
